"Game","# Owned","# Unique","# Cards","Badge Lvl","Set Price","Price Diff","Card Avg","Booster Avg","Booster %","Emote Avg","BG Avg","Avg Qty","Discount","Added"
"Neverwinter","0","0","8","0","1.27","1.27","0.16","0.28","-75.0","0.37","1.43","52","0.56","2017-03-21"
"Toukiden 2","0","0","9","0","2.60","2.60","0.29","0.30","-3.4","6.62","6.78","61","1.26","2017-03-21"
"Peace, Death!","0","0","9","0","0.98","0.98","0.11","0.38","-245.5","0.85","0.25","30","0.48","2017-03-21"
"Trianguluv","0","0","5","0","0.61","0.61","0.12","N/A","0.0","0.00","0.00","9","0.31","2017-03-21"
"DYSTORIA","0","0","7","0","1.11","1.11","0.16","N/A","0.0","0.00","9.72","8","0.56","2017-03-21"
"Sumoman","0","0","5","0","0.82","0.82","0.16","N/A","0.0","0.00","0.00","14","0.42","2017-03-21"
"The Crow's Eye","0","0","5","0","0.78","0.78","0.16","N/A","0.0","1.07","0.18","11","0.42","2017-03-20"
"Crisis in the Kremlin","0","0","6","0","1.55","1.55","0.26","0.67","-157.7","1.21","6.97","29","0.68","2017-03-20"
"The Cat Games","0","0","5","0","1.96","1.96","0.39","N/A","0.0","5.75","1.70","16","1.02","2017-03-20"
"You... and who else?","0","0","10","0","6.64","6.64","0.66","N/A","0.0","0.00","0.00","11","2.87","2017-03-19"
"Chess3D","0","0","6","0","1.57","1.57","0.26","N/A","0.0","0.00","0.00","6","0.68","2017-03-19"
"Lock's Quest","0","0","8","0","4.14","4.14","0.52","N/A","0.0","0.00","0.00","2","0.90","2017-03-19"
"Your Star","0","0","6","0","5.29","5.29","0.88","N/A","0.0","2.03","4.25","7","2.30","2017-03-19"
"Adventures of Abrix","0","0","5","0","0.38","0.38","0.08","N/A","0.0","1.45","1.26","28","0.21","2017-03-19"
"Evil","0","0","5","0","5.42","5.42","1.08","N/A","0.0","1.22","2.44","7","2.82","2017-03-18"
"ROTii","0","0","5","0","0.77","0.77","0.15","N/A","0.0","0.00","0.00","4","0.39","2017-03-18"
"Trolley Gold","0","0","6","0","0.21","0.21","0.04","0.03","25.0","0.03","0.03","698","0.10","2017-03-18"
"A Foretold Affair","0","0","8","0","6.03","6.03","0.75","N/A","0.0","0.00","1.22","10","2.61","2017-03-18"
"Darkarta: A Broken Heart's Quest Collector's Edition","0","0","10","0","0.52","0.52","0.05","0.07","-40.0","2.30","2.19","42","0.22","2017-03-18"
"Lemuria: Lost in Space","0","0","5","0","1.63","1.63","0.33","N/A","0.0","0.00","0.00","5","0.86","2017-03-18"
"Detective Noir","0","0","5","0","0.30","0.30","0.06","0.48","-700.0","0.04","0.03","218","0.16","2017-03-18"
"Ninja Avenger Dragon Blade","0","0","5","0","0.93","0.93","0.19","N/A","0.0","1.07","2.02","9","0.50","2017-03-18"
"Cat Goes Platform","0","0","5","0","0.25","0.25","0.05","0.06","-20.0","0.03","0.03","264","0.13","2017-03-18"
"Ascender","0","0","6","0","4.10","4.10","0.68","N/A","0.0","1.07","2.44","11","1.77","2017-03-18"
"Domina","0","0","6","0","1.05","1.05","0.18","0.81","-350.0","0.00","0.00","39","0.47","2017-03-18"
"Eldritch Hunter","0","0","5","0","2.65","2.65","0.53","N/A","0.0","1.28","3.90","14","1.38","2017-03-18"
"All Alone: VR","0","0","5","0","0.31","0.31","0.06","0.18","-200.0","1.81","0.49","129","0.16","2017-03-17"
"M.A.C.E.","0","0","10","0","0.42","0.42","0.04","N/A","0.0","0.00","0.00","25","0.17","2017-03-17"
"Multishop Tycoon Deluxe","0","0","7","0","2.06","2.06","0.29","N/A","0.0","0.00","0.00","9","1.01","2017-03-17"
"NieR:Automata™","0","0","9","0","3.85","3.85","0.43","0.40","7.0","0.26","1.45","995","1.87","2017-03-17"
"The Last Patient","0","0","5","0","0.47","0.47","0.09","N/A","0.0","0.87","0.73","18","0.23","2017-03-17"
"Lifeline","0","0","8","0","1.44","1.44","0.18","13.67","-7,494.4","2.96","5.23","20","0.63","2017-03-17"
"Last Tale","0","0","5","0","0.25","0.25","0.05","0.07","-40.0","24.86","5.39","317","0.13","2017-03-17"
"Yozora Rhapsody","0","0","5","0","1.89","1.89","0.38","N/A","0.0","2.67","9.77","18","0.99","2017-03-17"
"100ft Robot Golf","0","0","6","0","3.69","3.69","0.61","N/A","0.0","5.61","3.92","11","1.59","2017-03-17"
"The Keep","0","0","9","0","0.84","0.84","0.09","0.38","-322.2","0.00","0.00","11","0.39","2017-03-17"
"D: The Game","0","0","5","0","0.39","0.39","0.08","0.12","-50.0","1.14","1.70","39","0.21","2017-03-17"
"Shrouded in Sanity","0","0","7","0","0.81","0.81","0.12","0.89","-641.7","0.67","0.05","15","0.42","2017-03-16"
"Virtual Rides 3","0","0","10","0","4.02","4.02","0.40","N/A","0.0","0.00","0.00","10","1.74","2017-03-16"
"Panzer Panic VR","0","0","6","0","0.84","0.84","0.14","N/A","0.0","0.00","0.00","1","0.37","2017-03-16"
"Pain Train 2","0","0","12","0","0.77","0.77","0.06","0.08","-33.3","0.20","0.20","24","0.31","2017-03-16"
"Bootombaa","0","0","5","0","0.37","0.37","0.07","N/A","0.0","1.48","0.32","60","0.18","2017-03-16"
"SENRAN KAGURA ESTIVAL VERSUS","0","0","6","0","2.33","2.33","0.39","0.40","-2.6","0.46","1.03","125","1.02","2017-03-16"
"LEAVES - The Return","0","0","7","0","1.07","1.07","0.15","N/A","0.0","0.92","3.65","13","0.52","2017-03-16"
"Soul Saber 2","0","0","6","0","2.00","2.00","0.33","0.56","-69.7","11.17","19.06","16","0.86","2017-03-16"
"Heroes of Dire","0","0","5","0","5.68","5.68","1.14","N/A","0.0","20.96","3.20","26","2.97","2017-03-16"
"CHAOS CODE -NEW SIGN OF CATASTROPHE-","0","0","10","0","2.68","2.68","0.27","0.24","11.1","4.49","15.01","14","1.17","2017-03-16"
"Tacopocalypse","0","0","5","0","0.34","0.34","0.07","N/A","0.0","1.19","0.66","23","0.18","2017-03-16"
"Water Heroes: A Game for Change","0","0","5","0","60.70","60.70","12.14","N/A","0.0","0.00","0.00","0","10.56","2017-03-16"
"City of God I - Prison Empire","0","0","13","0","1.35","1.35","0.10","N/A","0.0","0.20","0.32","55","0.61","2017-03-16"
"Space Impact Glitch","0","0","5","0","0.43","0.43","0.09","0.09","0.0","0.96","0.23","34","0.23","2017-03-15"
"64.0","0","0","6","0","0.82","0.82","0.14","0.18","-28.6","61.14","0.12","34","0.37","2017-03-15"
"CONTRACTED","0","0","5","0","0.91","0.91","0.18","N/A","0.0","0.00","0.00","3","0.31","2017-03-15"
"aMAZE","0","0","6","0","0.40","0.40","0.07","0.07","0.0","2.01","4.33","66","0.18","2017-03-15"
"Ticket","0","0","6","0","0.48","0.48","0.08","N/A","0.0","0.00","2.88","22","0.21","2017-03-15"
"Nephise","0","0","5","0","1.65","1.65","0.33","N/A","0.0","1.12","0.78","8","0.86","2017-03-15"
"Like Clay","0","0","5","0","0.59","0.59","0.12","N/A","0.0","0.00","0.00","8","0.31","2017-03-15"
"Eekeemoo - Splinters of the Dark Shard","0","0","7","0","0.92","0.92","0.13","N/A","0.0","1.22","3.34","11","0.45","2017-03-15"
"Blue-Collar Astronaut","0","0","5","0","0.41","0.41","0.08","N/A","0.0","1.04","1.42","20","0.21","2017-03-15"
"Himiko","0","0","5","0","1.55","1.55","0.31","N/A","0.0","1.54","5.23","14","0.81","2017-03-15"
"Good Archer","0","0","5","0","0.35","0.35","0.07","0.06","14.3","0.30","30.28","67","0.18","2017-03-15"
"Heaven Forest NIGHTS","0","0","10","0","0.30","0.30","0.03","0.02","33.3","0.04","0.03","1039","0.13","2017-03-15"
"Dead Rising 4","0","0","9","0","1.70","1.70","0.19","0.17","10.5","1.41","1.21","65","0.83","2017-03-14"
"Styx: Shards of Darkness","0","0","7","0","1.25","1.25","0.18","0.19","-5.6","0.71","1.78","43","0.63","2017-03-14"
"Monster Monpiece","0","0","6","0","1.95","1.95","0.33","0.31","6.1","0.44","1.07","26","0.86","2017-03-14"
"GRUZCHIK","0","0","7","0","0.23","0.23","0.03","0.02","33.3","0.06","0.03","669","0.10","2017-03-14"
"Planet Explorers","0","0","7","0","0.39","0.39","0.06","0.18","-200.0","0.11","1.36","49","0.21","2017-03-14"
"Stolen Steel VR","0","0","5","0","2.86","2.86","0.57","N/A","0.0","5.48","61.06","5","1.49","2017-03-14"
"Fix Me Fix You","0","0","5","0","3.19","3.19","0.64","N/A","0.0","1.84","2.44","14","1.67","2017-03-14"
"Frog Hop","0","0","5","0","138.03","138.03","27.61","N/A","0.0","0.00","0.00","2","72.03","2017-03-13"
"GrottyScape","0","0","5","0","0.23","0.23","0.05","0.04","20.0","0.03","0.03","743","0.13","2017-03-13"
"- Arcane Raise -","0","0","5","0","0.52","0.52","0.10","0.08","20.0","0.46","1.03","65","0.26","2017-03-13"
"Waking the Glares","0","0","5","0","1.35","1.35","0.27","N/A","0.0","0.00","0.00","8","0.70","2017-03-13"
"The Tenth Line","0","0","10","0","2.63","2.63","0.26","N/A","0.0","0.17","0.24","16","1.13","2017-03-13"
"Overkill VR","0","0","9","0","1.32","1.32","0.15","N/A","0.0","0.19","0.38","11","0.65","2017-03-12"
"Fated Souls 3","0","0","5","0","0.48","0.48","0.10","0.08","20.0","10.00","10.00","19","0.26","2017-03-11"
"Where is my Brain!?","0","0","9","0","4.23","4.23","0.47","N/A","0.0","1.07","3.18","12","2.04","2017-03-11"
"Chosen 2","0","0","5","0","0.61","0.61","0.12","0.09","25.0","0.85","0.14","28","0.31","2017-03-11"
"aMAZEing adventures","0","0","5","0","0.44","0.44","0.09","0.81","-800.0","2.54","1.23","38","0.23","2017-03-10"
"Gas Guzzlers: Combat Carnage","0","0","5","0","0.96","0.96","0.19","N/A","0.0","2.24","1.87","4","0.50","2017-03-10"
"The Adventures of Fei Duanmu 端木斐异闻录","0","0","5","0","1.14","1.14","0.23","0.32","-39.1","0.52","1.62","54","0.60","2017-03-10"
"Gump Runner","0","0","5","0","0.28","0.28","0.06","0.05","16.7","0.11","0.03","373","0.16","2017-03-10"
"Tank Destroyer","0","0","5","0","0.63","0.63","0.13","0.13","0.0","0.00","225.60","11","0.34","2017-03-10"
"Space Jammers","0","0","5","0","0.73","0.73","0.15","N/A","0.0","0.00","0.00","4","0.39","2017-03-10"
"Danmaku Unlimited 3","0","0","5","0","1.93","1.93","0.39","N/A","0.0","1.00","0.17","6","1.02","2017-03-10"
"Lost Grimoires 2: Shard of Mystery","0","0","5","0","1.02","1.02","0.20","0.21","-5.0","1.28","1.05","12","0.52","2017-03-09"
"Mountain Mind","0","0","6","0","1.08","1.08","0.18","N/A","0.0","1.23","0.00","1","0.16","2017-03-09"
"Roomscale Coaster","0","0","5","0","2.20","2.20","0.44","N/A","0.0","0.00","0.00","4","1.15","2017-03-09"
"Universe in Fire","0","0","5","0","0.25","0.25","0.05","0.05","0.0","0.06","0.03","219","0.13","2017-03-09"
"Yeti Adventure","0","0","5","0","0.24","0.24","0.05","0.06","-20.0","0.06","0.03","301","0.13","2017-03-09"
"Cowboy zombie","0","0","5","0","0.23","0.23","0.05","0.06","-20.0","0.03","0.03","678","0.13","2017-03-09"
"Itineris","0","0","5","0","0.25","0.25","0.05","0.04","20.0","0.04","0.03","431","0.13","2017-03-09"
"Chicka Wars | Chicken Meat","0","0","5","0","0.21","0.21","0.04","0.05","-25.0","0.03","0.03","543","0.10","2017-03-09"
"Gem Forge","0","0","7","0","0.44","0.44","0.06","0.12","-100.0","1.04","0.39","31","0.21","2017-03-09"
"LEAVES - The Journey","0","0","7","0","1.25","1.25","0.18","N/A","0.0","0.00","0.88","11","0.63","2017-03-09"
"Hungry Flame","0","0","6","0","0.54","0.54","0.09","0.08","11.1","0.68","0.09","34","0.23","2017-03-09"
"Ghost Blade HD","0","0","8","0","2.90","2.90","0.36","N/A","0.0","3.25","11.07","19","1.25","2017-03-09"
"Subsiege","0","0","5","0","0.49","0.49","0.10","0.11","-10.0","1.93","1.99","23","0.26","2017-03-08"
"Tom Clancy's Ghost Recon® Wildlands","0","0","5","0","1.10","1.10","0.22","0.22","0.0","0.14","0.36","876","0.57","2017-03-08"
"The guard of dungeon","0","0","6","0","0.33","0.33","0.06","0.04","33.3","1.09","1.74","39","0.16","2017-03-08"
"goalunited PRO","0","0","8","0","4.73","4.73","0.59","0.80","-35.6","0.00","0.00","17","2.05","2017-03-07"
