"Game","# Owned","# Unique","# Cards","Badge Lvl","Set Price","Price Diff","Card Avg","Booster Avg","Booster %","Emote Avg","BG Avg","Avg Qty","Discount","Added"
"The Vanishing of Ethan Carter Redux","0","0","6","0","0.44","0.44","0.07","0.05","28.6","0.11","0.10","345","0.18","2016-03-30"
"STEEL RIVALS","0","0","6","0","0.54","0.54","0.09","0.05","44.4","0.21","0.58","36","0.23","2016-03-30"
"Club Life","0","0","5","0","0.87","0.87","0.17","0.32","-88.2","0.23","0.51","72","0.44","2016-03-30"
"Catch a Falling Star","0","0","6","0","0.25","0.25","0.04","0.02","50.0","0.03","0.05","1073","0.10","2016-03-30"
"Awakening: The Redleaf Forest Collector's Edition","0","0","7","0","3.30","3.30","0.47","N/A","0.0","4.78","5.00","6","1.23","2016-03-30"
"Road Madness","0","0","8","0","0.36","0.36","0.04","0.02","50.0","0.03","0.03","253","0.14","2016-03-30"
"Satellite Rush","0","0","8","0","0.87","0.87","0.11","68.37","-62,054.5","0.00","0.00","17","0.38","2016-03-30"
"Hypersensitive Bob","0","0","6","0","0.92","0.92","0.15","0.13","13.3","12.05","1.31","21","0.39","2016-03-30"
"Tasty Planet: Back for Seconds","0","0","8","0","1.33","1.33","0.17","0.08","52.9","0.55","0.45","36","0.59","2016-03-30"
"Cube Land Arena","0","0","5","0","0.34","0.34","0.07","0.04","42.9","0.03","0.03","206","0.18","2016-03-30"
"Homeworld: Deserts of Kharak","0","0","10","0","0.93","0.93","0.09","0.10","-11.1","0.20","0.31","176","0.39","2016-03-30"
"Shoppe Keep","0","0","11","0","0.52","0.52","0.05","0.04","20.0","0.16","0.11","110","0.26","2016-03-29"
"NightCry","0","0","5","0","1.01","1.01","0.20","N/A","0.0","1.22","2.04","21","0.52","2016-03-29"
"Galactineers","0","0","12","0","0.55","0.55","0.05","0.03","40.0","17.92","0.17","65","0.26","2016-03-29"
"Heathen Engineering's Terran","0","0","9","0","8.44","8.44","0.94","7.08","-653.2","15.98","12.00","3","4.09","2016-03-29"
"Obliteracers","0","0","8","0","0.36","0.36","0.04","0.05","-25.0","2.10","1.26","88","0.14","2016-03-29"
"Rytmik Ultimate","0","0","7","0","1.17","1.17","0.17","0.18","-5.9","0.14","2.59","25","0.59","2016-03-29"
"Allods Online RU","0","0","10","0","2.21","2.21","0.22","0.54","-145.5","0.13","1.55","27","0.96","2016-03-29"
"Amigdala","0","0","5","0","0.38","0.38","0.08","0.04","50.0","0.03","0.07","164","0.21","2016-03-29"
"Shake Your Money Simulator 2016","0","0","5","0","0.22","0.22","0.04","0.03","25.0","0.03","0.03","840","0.10","2016-03-29"
"Hydra Slayer","0","0","10","0","3.77","3.77","0.38","N/A","0.0","0.00","1.53","6","1.32","2016-03-29"
"Throbax TD","0","0","6","0","0.98","0.98","0.16","0.48","-200.0","0.00","2.14","11","0.42","2016-03-28"
"Horror in the Asylum","0","0","5","0","0.89","0.89","0.18","0.20","-11.1","0.95","2.26","11","0.47","2016-03-28"
"SCORE","0","0","7","0","3.28","3.28","0.47","1.22","-159.6","3.03","5.02","19","1.63","2016-03-28"
"[the Sequence]","0","0","7","0","0.64","0.64","0.09","0.06","33.3","0.05","1.02","46","0.31","2016-03-27"
"Pertinence","0","0","5","0","0.37","0.37","0.07","0.04","42.9","0.10","0.64","112","0.18","2016-03-27"
"Under Zero","0","0","5","0","0.25","0.25","0.05","0.03","40.0","0.03","0.03","847","0.13","2016-03-27"
"At the Mountains of Madness","0","0","6","0","4.04","4.04","0.67","N/A","0.0","1.60","0.81","12","1.75","2016-03-26"
"Thorne - Death Merchants","0","0","5","0","0.58","0.58","0.12","0.12","0.0","0.53","0.62","20","0.31","2016-03-26"
"Zombies on a Plane","0","0","5","0","0.42","0.42","0.08","0.08","0.0","0.08","0.19","31","0.21","2016-03-26"
"Atari Vault","0","0","8","0","2.18","2.18","0.27","N/A","0.0","0.84","0.67","28","0.94","2016-03-26"
"Escape: Close Call","0","0","6","0","1.06","1.06","0.18","0.23","-27.8","0.00","0.64","10","0.47","2016-03-26"
"WolfQuest","0","0","7","0","2.18","2.18","0.31","0.37","-19.4","3.34","1.41","50","1.08","2016-03-26"
"Spaceport Hope","0","0","5","0","0.29","0.29","0.06","0.03","50.0","0.03","0.03","364","0.16","2016-03-26"
"Locked-in syndrome","0","0","5","0","0.28","0.28","0.06","0.03","50.0","0.03","0.03","161","0.16","2016-03-26"
"Spectrubes","0","0","6","0","0.52","0.52","0.09","0.09","0.0","1.03","0.11","30","0.23","2016-03-26"
"SAMOLIOTIK","0","0","6","0","0.24","0.24","0.04","0.02","50.0","0.03","0.03","686","0.10","2016-03-26"
"ASMR Universe","0","0","5","0","0.40","0.40","0.08","0.05","37.5","0.07","0.05","73","0.21","2016-03-25"
"Candice DeBébé's Incredibly Trick Lifestyle","0","0","6","0","1.65","1.65","0.27","N/A","0.0","0.49","3.06","20","0.70","2016-03-25"
"A Lenda do Herói - O Jogo","0","0","5","0","0.73","0.73","0.15","0.12","20.0","0.52","0.23","54","0.39","2016-03-25"
"Cellar","0","0","5","0","0.43","0.43","0.09","0.08","11.1","0.96","0.04","34","0.23","2016-03-25"
"Country Tales","0","0","9","0","1.72","1.72","0.19","N/A","0.0","0.67","1.54","10","0.83","2016-03-25"
"The Great Escape","0","0","5","0","0.34","0.34","0.07","0.05","28.6","0.06","0.06","179","0.18","2016-03-25"
"CrazyCars3D","0","0","5","0","0.27","0.27","0.05","0.03","40.0","0.04","0.04","342","0.13","2016-03-25"
"NOBUNAGA'S AMBITION: Souzou SengokuRisshiden","0","0","13","0","2.52","2.52","0.19","0.27","-42.1","6.74","4.28","48","1.16","2016-03-25"
"LostWinds","0","0","6","0","0.87","0.87","0.14","0.21","-50.0","0.95","3.08","17","0.37","2016-03-25"
"LostWinds 2: Winter of the Melodias","0","0","6","0","0.75","0.75","0.12","0.21","-75.0","4.08","64.44","19","0.31","2016-03-25"
"DreadOut: Keepers of The Dark","0","0","7","0","2.11","2.11","0.30","0.48","-60.0","0.50","2.41","29","1.04","2016-03-24"
"Solstice","0","0","8","0","0.44","0.44","0.05","0.06","-20.0","0.11","0.08","60","0.17","2016-03-24"
"Samorost 3","0","0","8","0","1.35","1.35","0.17","0.23","-35.3","0.48","0.22","136","0.59","2016-03-24"
"Hyper Light Drifter","0","0","5","0","0.99","0.99","0.20","0.33","-65.0","0.13","0.90","180","0.52","2016-03-24"
"Nelly Cootalot: The Fowl Fleet","0","0","9","0","0.87","0.87","0.10","0.24","-140.0","201.04","34.65","22","0.43","2016-03-24"
"Magical Eyes - Red is for Anguish","0","0","8","0","3.59","3.59","0.45","0.31","31.1","0.32","4.84","17","1.57","2016-03-24"
"LoveBeat","0","0","6","0","2.20","2.20","0.37","0.36","2.7","2.97","0.63","28","0.97","2016-03-24"
"Crystal Chip Collector","0","0","5","0","0.58","0.58","0.12","0.11","8.3","0.20","0.06","20","0.31","2016-03-24"
"Zombie Gotchi","0","0","7","0","4.29","4.29","0.61","0.31","49.2","8.26","0.13","18","2.12","2016-03-24"
"Angry Video Game Nerd II: ASSimilation","0","0","6","0","1.55","1.55","0.26","0.33","-26.9","0.63","0.36","33","0.68","2016-03-24"
"Airstrike HD","0","0","6","0","0.32","0.32","0.05","0.03","40.0","0.03","0.03","614","0.13","2016-03-24"
"SUPERHOT","0","0","5","0","0.52","0.52","0.10","0.07","30.0","0.09","0.09","416","0.26","2016-03-23"
"Mystery Maze Of Balthasar Castle","0","0","6","0","0.46","0.46","0.08","N/A","0.0","0.50","0.30","30","0.21","2016-03-23"
"Wish Project","0","0","6","0","0.70","0.70","0.12","N/A","0.0","0.25","1.27","12","0.31","2016-03-23"
"Borstal","0","0","5","0","3.21","3.21","0.64","N/A","0.0","1.35","0.35","11","1.67","2016-03-23"
"Hush Hush - Unlimited Survival Horror","0","0","13","0","1.62","1.62","0.12","0.05","58.3","0.34","2.57","20","0.73","2016-03-22"
"Trial by Viking","0","0","5","0","1.68","1.68","0.34","N/A","0.0","136.17","5.21","5","0.89","2016-03-22"
"Day of the Tentacle Remastered","0","0","6","0","0.41","0.41","0.07","0.12","-71.4","0.18","0.09","362","0.18","2016-03-22"
"Football Manager 2016","0","0","9","0","0.47","0.47","0.05","0.05","0.0","0.09","0.09","428","0.22","2016-03-22"
"Mimpi Dreams","0","0","5","0","0.68","0.68","0.14","0.19","-35.7","1.05","0.51","22","0.37","2016-03-22"
"War Birds: WW2 Air strike 1942","0","0","5","0","0.42","0.42","0.08","0.04","50.0","0.08","0.16","137","0.21","2016-03-22"
"Shadows Peak","0","0","5","0","1.57","1.57","0.31","1.85","-496.8","0.57","4.55","23","0.81","2016-03-22"
"Scapeland","0","0","5","0","0.37","0.37","0.07","0.06","14.3","0.07","0.11","61","0.18","2016-03-22"
"Discouraged Workers TEEN","0","0","5","0","5.70","5.70","1.14","0.17","85.1","0.25","0.38","13","2.97","2016-03-22"
"Dark Parables: The Little Mermaid and the Purple Tide Collector's Edition","0","0","6","0","2.36","2.36","0.39","N/A","0.0","6.65","8.35","16","1.02","2016-03-22"
"Hyperdimension Neptunia U: Action Unleashed","0","0","5","0","1.87","1.87","0.37","0.43","-16.2","0.19","0.29","151","0.97","2016-03-22"
"Moonlight","0","0","5","0","0.49","0.49","0.10","0.13","-30.0","0.19","0.17","40","0.26","2016-03-22"
"Spaceman Sparkles 3","0","0","8","0","0.79","0.79","0.10","0.21","-110.0","0.86","0.05","61","0.35","2016-03-21"
"Age of Magic CCG","0","0","5","0","2.86","2.86","0.57","0.48","15.8","0.30","2.48","22","1.49","2016-03-21"
"Bacteria","0","0","15","0","0.45","0.45","0.03","0.02","33.3","0.03","0.03","847","0.21","2016-03-21"
"ZeGame","0","0","8","0","3.38","3.38","0.42","N/A","0.0","2.68","2.33","12","1.46","2016-03-20"
"Nyctophobia","0","0","5","0","0.23","0.23","0.05","0.02","60.0","0.03","0.03","767","0.13","2016-03-20"
"Action Alien","0","0","6","0","0.31","0.31","0.05","0.03","40.0","0.07","0.03","193","0.13","2016-03-20"
"Jelly Killer","0","0","5","0","0.41","0.41","0.08","0.07","12.5","2.13","0.05","191","0.21","2016-03-19"
"ENYO ARCADE","0","0","6","0","1.63","1.63","0.27","0.41","-51.9","4.32","0.27","10","0.70","2016-03-19"
"Alien Blitz","0","0","6","0","0.92","0.92","0.15","0.10","33.3","0.62","0.29","11","0.39","2016-03-19"
"Wind Child","0","0","5","0","0.65","0.65","0.13","0.33","-153.8","0.12","0.52","28","0.34","2016-03-19"
"Game Tycoon 2","0","0","7","0","1.16","1.16","0.17","0.19","-11.8","1.14","0.77","15","0.59","2016-03-19"
"Trigger Runners","0","0","6","0","0.39","0.39","0.07","0.04","42.9","0.07","0.05","82","0.18","2016-03-19"
"Neon Hardcorps","0","0","5","0","0.23","0.23","0.05","0.02","60.0","0.03","0.03","629","0.13","2016-03-19"
"Samphi","0","0","6","0","0.54","0.54","0.09","0.18","-100.0","0.17","0.26","19","0.23","2016-03-19"
"Mystic Destinies: Serendipity of Aeons","0","0","5","0","2.04","2.04","0.41","0.75","-82.9","1.68","1.90","17","1.07","2016-03-19"
"Burst","0","0","7","0","0.24","0.24","0.03","0.02","33.3","0.03","0.03","529","0.10","2016-03-19"
"Calcu-Late","0","0","5","0","0.25","0.25","0.05","0.03","40.0","0.03","0.03","1115","0.13","2016-03-19"
"8-Bit Commando","0","0","7","0","0.48","0.48","0.07","0.04","42.9","0.04","0.31","116","0.24","2016-03-19"
"High On Racing","0","0","7","0","0.33","0.33","0.05","0.02","60.0","0.03","0.03","524","0.17","2016-03-19"
"One way to exit","0","0","5","0","0.25","0.25","0.05","0.03","40.0","0.04","0.03","359","0.13","2016-03-18"
"Gunjitsu","0","0","7","0","0.44","0.44","0.06","0.03","50.0","0.14","0.09","62","0.21","2016-03-18"
"Agent Awesome","0","0","5","0","0.29","0.29","0.06","0.03","50.0","0.04","0.03","667","0.16","2016-03-18"
"Altitude0: Lower & Faster","0","0","9","0","1.50","1.50","0.17","0.27","-58.8","21.88","1.07","16","0.74","2016-03-18"
"INFRA","0","0","6","0","1.16","1.16","0.19","0.13","31.6","0.71","0.19","23","0.50","2016-03-18"
"Helen's Mysterious Castle","0","0","6","0","1.98","1.98","0.33","N/A","0.0","0.09","3.58","24","0.86","2016-03-18"
"Serious Sam HD: The Second Encounter","0","0","8","0","0.44","0.44","0.06","0.03","50.0","0.10","0.10","610","0.21","2016-03-18"
"Serious Sam HD: The First Encounter","0","0","8","0","0.48","0.48","0.06","0.04","33.3","0.04","0.04","554","0.21","2016-03-18"
"Grind Zones","0","0","7","0","0.32","0.32","0.05","0.02","60.0","0.03","0.03","706","0.17","2016-03-18"
"Pharaoh Rebirth+","0","0","6","0","0.93","0.93","0.15","0.32","-113.3","2.24","0.66","16","0.39","2016-03-18"
"Hide & Hold Out - H2o","0","0","7","0","0.61","0.61","0.09","0.05","44.4","2.64","0.49","46","0.31","2016-03-18"
"Dead Stop","0","0","5","0","2.14","2.14","0.43","N/A","0.0","0.00","0.00","3","0.75","2016-03-18"
"Royal Heroes","0","0","8","0","0.54","0.54","0.07","0.09","-28.6","0.22","0.25","56","0.24","2016-03-18"
"Tiny Guardians","0","0","6","0","0.37","0.37","0.06","0.07","-16.7","0.09","0.04","191","0.16","2016-03-18"
"Way of the Samurai 3","0","0","7","0","0.74","0.74","0.11","0.22","-100.0","19.84","4.79","42","0.38","2016-03-18"
"Hidden Object 6-in-1 bundle","0","0","6","0","0.54","0.54","0.09","0.13","-44.4","0.25","1.73","66","0.23","2016-03-17"
"Bus Simulator 16","0","0","6","0","0.67","0.67","0.11","0.16","-45.5","0.15","0.15","132","0.29","2016-03-17"
"Prison Run and Gun","0","0","5","0","0.63","0.63","0.13","0.10","23.1","0.08","0.05","25","0.34","2016-03-17"
"Nil-Ninjahtic: Ronin","0","0","6","0","3.42","3.42","0.57","0.33","42.1","0.62","0.23","5","1.49","2016-03-17"
"Serafina's Crown","0","0","8","0","0.38","0.38","0.05","0.03","40.0","0.03","0.04","162","0.17","2016-03-17"
"Nanobots","0","0","6","0","0.34","0.34","0.06","0.10","-66.7","0.78","0.39","60","0.16","2016-03-16"
"Burokku Girls","0","0","10","0","2.39","2.39","0.24","0.24","0.0","0.81","3.93","13","1.04","2016-03-16"
"Falcon 4.0","0","0","5","0","1.66","1.66","0.33","1.33","-303.0","0.88","4.16","17","0.86","2016-03-16"
"Bombshell","0","0","10","0","2.31","2.31","0.23","0.34","-47.8","0.28","3.59","16","1.00","2016-03-16"
"Hairy Little Buggers (Formerly Queen Under the Mountain)","0","0","5","0","0.85","0.85","0.17","0.22","-29.4","0.00","11.50","9","0.44","2016-03-16"
"Astroloco: Worst Contact","0","0","6","0","0.57","0.57","0.09","0.10","-11.1","0.10","1.65","19","0.23","2016-03-16"
"Pixel Fodder","0","0","6","0","1.80","1.80","0.30","0.16","46.7","3.59","0.35","14","0.78","2016-03-15"
"Stairs","0","0","5","0","1.45","1.45","0.29","N/A","0.0","0.40","0.30","15","0.76","2016-03-15"
"Mech Anarchy","0","0","5","0","0.75","0.75","0.15","0.11","26.7","0.26","5.52","21","0.39","2016-03-15"
"My Tower, My Home","0","0","5","0","0.87","0.87","0.17","0.09","47.1","0.11","0.72","11","0.44","2016-03-15"
"Case #8","0","0","5","0","0.25","0.25","0.05","0.04","20.0","0.03","0.03","386","0.13","2016-03-15"
"Cosmic Leap","0","0","5","0","0.49","0.49","0.10","0.08","20.0","0.07","0.04","38","0.26","2016-03-15"
"Nuked Knight","0","0","6","0","0.26","0.26","0.04","0.02","50.0","0.03","0.07","192","0.10","2016-03-15"
"There's Poop In My Soup","0","0","8","0","0.80","0.80","0.10","0.08","20.0","0.72","0.05","54","0.35","2016-03-15"
"Infinity Wings - Scout & Grunt","0","0","5","0","0.41","0.41","0.08","0.06","25.0","0.07","0.55","82","0.21","2016-03-15"
"Race.a.bit","0","0","7","0","0.35","0.35","0.05","0.04","20.0","0.22","0.05","83","0.17","2016-03-15"
"Sparkle ZERO","0","0","6","0","0.37","0.37","0.06","0.03","50.0","0.03","0.05","217","0.16","2016-03-15"
"Chasing Dead","0","0","11","0","2.87","2.87","0.26","0.81","-211.5","12.40","8.16","13","1.36","2016-03-15"
"Strawberry Vinegar","0","0","5","0","2.26","2.26","0.45","0.71","-57.8","0.40","1.87","18","1.17","2016-03-15"
"Premium Pool","0","0","6","0","1.93","1.93","0.32","0.60","-87.5","6.90","0.84","14","0.83","2016-03-15"
"Season of 12 Colors","0","0","5","0","2.19","2.19","0.44","0.44","0.0","0.31","1.22","35","1.15","2016-03-14"
"The Treasures of Montezuma 5","0","0","6","0","1.63","1.63","0.27","N/A","0.0","5.79","1.99","10","0.70","2016-03-14"
"Leap of Fate","0","0","6","0","0.52","0.52","0.09","0.10","-11.1","0.69","0.75","64","0.23","2016-03-12"
"Ben 10 Game Generator 5D","0","0","6","0","3.17","3.17","0.53","N/A","0.0","3.85","7.57","14","1.38","2016-03-12"
"Gridworld","0","0","5","0","1.20","1.20","0.24","0.16","33.3","0.71","0.26","19","0.63","2016-03-12"
"Bonsai","0","0","5","0","0.33","0.33","0.07","0.06","14.3","0.04","0.13","142","0.18","2016-03-12"
"Alekhine's Gun","0","0","8","0","1.69","1.69","0.21","40.40","-19,138.1","1.05","0.62","16","0.73","2016-03-12"
"HITMAN™","0","0","9","0","0.88","0.88","0.10","0.09","10.0","0.11","0.14","553","0.43","2016-03-11"
"Magic Potion Explorer","0","0","5","0","1.25","1.25","0.25","N/A","0.0","2.54","3.13","58","0.65","2016-03-11"
"The Next World","0","0","8","0","3.91","3.91","0.49","1.50","-206.1","1.00","5.32","12","1.70","2016-03-11"
"Run Rabbit Run","0","0","6","0","0.47","0.47","0.08","0.06","25.0","0.37","0.05","55","0.21","2016-03-11"
"Mind Games","0","0","5","0","0.41","0.41","0.08","0.08","0.0","0.10","0.12","53","0.21","2016-03-11"
"The Secret Order 3: Ancient Times","0","0","5","0","0.35","0.35","0.07","0.09","-28.6","0.10","0.06","107","0.18","2016-03-11"
"Tom Clancy's The Division","0","0","6","0","0.95","0.95","0.16","0.14","12.5","0.09","0.36","1324","0.42","2016-03-11"
"Green Moon","0","0","6","0","0.35","0.35","0.06","0.05","16.7","0.87","0.05","108","0.16","2016-03-10"
"Tic-Toc-Tower","0","0","8","0","0.54","0.54","0.07","0.04","42.9","0.05","0.30","64","0.24","2016-03-10"
"UnderDread","0","0","6","0","1.37","1.37","0.23","N/A","0.0","4.53","1.17","14","0.60","2016-03-10"
"Planet Stronghold: Colonial Defense","0","0","8","0","2.17","2.17","0.27","N/A","0.0","0.30","2.01","12","0.94","2016-03-10"
"Casey Powell Lacrosse 16","0","0","7","0","2.84","2.84","0.41","N/A","0.0","3.45","3.44","15","1.43","2016-03-10"
"Falcon Gold","0","0","6","0","0.45","0.45","0.08","0.06","25.0","0.19","0.10","47","0.21","2016-03-10"
"Brawlhalla","0","0","9","0","2.12","2.12","0.24","0.23","4.2","0.21","0.20","108","1.04","2016-03-10"
"Porradaria 2: Pagode of the Night","0","0","7","0","0.45","0.45","0.06","0.03","50.0","0.48","0.05","45","0.21","2016-03-09"
"Heal Them All","0","0","6","0","9.54","9.54","1.59","N/A","0.0","0.00","0.00","2","2.77","2016-03-09"
"Shardlight","0","0","5","0","1.06","1.06","0.21","0.15","28.6","0.41","2.18","24","0.55","2016-03-09"
"Space Overlords","0","0","5","0","0.86","0.86","0.17","0.20","-17.6","0.27","7.28","14","0.44","2016-03-09"
"GTGD S3 How To Make A Game","0","0","8","0","1.35","1.35","0.17","N/A","0.0","3.53","4.63","15","0.59","2016-03-09"
"Etaria | Survival Adventure","0","0","5","0","0.24","0.24","0.05","0.02","60.0","0.03","0.03","472","0.13","2016-03-08"
"Super Cane Magic ZERO","0","0","9","0","0.88","0.88","0.10","0.28","-180.0","6.30","9.51","17","0.43","2016-03-08"
"Wild Animal Racing","0","0","6","0","2.10","2.10","0.35","N/A","0.0","0.60","2.03","14","0.91","2016-03-08"
"Far Cry Primal","0","0","9","0","1.12","1.12","0.12","0.14","-16.7","0.20","0.46","251","0.52","2016-03-08"
"Street Fighter V","0","0","15","0","1.05","1.05","0.07","0.10","-42.9","0.15","0.19","207","0.49","2016-03-08"
"Tank Battle: 1944","0","0","6","0","1.36","1.36","0.23","N/A","0.0","3.58","1.91","10","0.60","2016-03-08"
"Super Kitty Boing Boing","0","0","5","0","1.05","1.05","0.21","0.20","4.8","1.73","0.24","40","0.55","2016-03-07"
"Blades of the Righteous","0","0","5","0","0.64","0.64","0.13","0.12","7.7","1.97","0.64","20","0.34","2016-03-07"
"Mystica: The Ninth Society","0","0","5","0","0.41","0.41","0.08","0.05","37.5","0.08","0.05","35","0.21","2016-03-07"
"Ares Omega","0","0","9","0","0.60","0.60","0.07","0.05","28.6","0.28","0.09","56","0.30","2016-03-07"
"Sakura Swim Club","0","0","5","0","2.08","2.08","0.42","0.44","-4.8","0.30","1.19","105","1.10","2016-03-07"
"Insecters War","0","0","5","0","3.54","3.54","0.71","N/A","0.0","0.00","1.00","7","1.85","2016-03-06"
"Split","0","0","5","0","0.40","0.40","0.08","0.04","50.0","0.20","0.26","27","0.21","2016-03-06"
"Villagers","0","0","7","0","0.77","0.77","0.11","0.22","-100.0","3.87","1.29","37","0.38","2016-03-06"
"ATOM GRRRL!!","0","0","7","0","3.56","3.56","0.51","0.44","13.7","1.52","0.59","15","1.77","2016-03-06"
"Cologne","0","0","7","0","3.59","3.59","0.51","N/A","0.0","0.70","3.42","14","1.77","2016-03-06"
"Beyond Dimensions","0","0","8","0","1.18","1.18","0.15","0.14","6.7","0.57","7.74","13","0.52","2016-03-06"
"Sunrider: Liberation Day - Captain's Edition","0","0","8","0","2.55","2.55","0.32","0.31","3.1","1.40","1.75","27","1.11","2016-03-06"
"Chicken Invaders 2","0","0","7","0","1.75","1.75","0.25","N/A","0.0","1.00","1.66","14","0.87","2016-03-05"
"But to Paint a Universe","0","0","12","0","0.52","0.52","0.04","0.03","25.0","0.11","0.45","102","0.21","2016-03-05"
"Bear Simulator","0","0","6","0","1.84","1.84","0.31","0.36","-16.1","26.78","0.44","28","0.81","2016-03-05"
"Graviteam Tactics: Mius-Front","0","0","8","0","3.75","3.75","0.47","0.57","-21.3","2.59","2.98","21","1.63","2016-03-05"
"Paper Train: Traffic","0","0","6","0","0.34","0.34","0.06","0.05","16.7","0.08","0.07","61","0.16","2016-03-05"
"神楽道中記(KaguraDouchuuki)","0","0","5","0","2.09","2.09","0.42","N/A","0.0","1.56","3.00","14","1.10","2016-03-05"
"Crest","0","0","6","0","0.57","0.57","0.09","0.10","-11.1","78.04","0.33","20","0.23","2016-03-05"
"Space Pilgrim Episode IV: Sol","0","0","5","0","0.38","0.38","0.08","0.04","50.0","0.03","0.03","377","0.21","2016-03-05"
"Ultimate Arena","0","0","5","0","1.49","1.49","0.30","0.43","-43.3","2.59","0.03","133","0.78","2016-03-05"
"E.T. Armies","0","0","7","0","0.48","0.48","0.07","0.07","0.0","0.16","0.49","45","0.24","2016-03-05"
"Into the Stars","0","0","10","0","0.72","0.72","0.07","0.19","-171.4","59.56","0.15","31","0.30","2016-03-05"
"Robo's World: The Zarnok Fortress","0","0","6","0","0.39","0.39","0.07","0.04","42.9","0.04","0.35","76","0.18","2016-03-05"
"Elemental Heroes","0","0","6","0","1.96","1.96","0.33","N/A","0.0","0.44","5.18","17","0.86","2016-03-04"
"Red Risk","0","0","7","0","0.25","0.25","0.04","0.02","50.0","0.03","0.03","861","0.14","2016-03-04"
"Sakura Beach 2","0","0","5","0","1.13","1.13","0.23","0.22","4.3","0.18","1.46","101","0.60","2016-03-04"
"Last Days of Old Earth","0","0","5","0","1.08","1.08","0.22","0.42","-90.9","0.00","1.80","11","0.57","2016-03-03"
"Rage Parking Simulator 2016","0","0","9","0","0.43","0.43","0.05","0.02","60.0","0.04","0.03","984","0.22","2016-03-03"
"Celestian Tales: Old North","0","0","6","0","0.68","0.68","0.11","0.33","-200.0","0.75","0.52","22","0.29","2016-03-03"
"Alice's Patchwork","0","0","5","0","0.42","0.42","0.08","0.06","25.0","0.19","0.37","80","0.21","2016-03-03"
"Banzai Escape","0","0","7","0","0.52","0.52","0.07","0.04","42.9","0.18","1.19","130","0.24","2016-03-03"
"BlazBlue: Chronophantasma Extend","0","0","10","0","1.41","1.41","0.14","0.24","-71.4","0.40","1.06","146","0.61","2016-03-03"
"Commando Jack","0","0","5","0","0.36","0.36","0.07","0.03","57.1","0.04","0.03","415","0.18","2016-03-03"
"Cat on a Diet","0","0","6","0","0.56","0.56","0.09","0.06","33.3","0.09","0.03","153","0.23","2016-03-03"
"Oxenfree","0","0","5","0","0.45","0.45","0.09","0.12","-33.3","0.10","0.16","364","0.23","2016-03-03"
"Sakura Fantasy Chapter 1","0","0","5","0","1.05","1.05","0.21","0.41","-95.2","0.24","1.65","79","0.55","2016-03-03"
"Story of a Cube","0","0","5","0","0.57","0.57","0.11","0.08","27.3","0.25","0.09","19","0.29","2016-03-02"
"Yrminsul","0","0","6","0","0.48","0.48","0.08","0.19","-137.5","0.11","0.14","31","0.21","2016-03-02"
"Cloudlands : VR Minigolf","0","0","9","0","0.49","0.49","0.05","0.16","-220.0","1.56","0.91","47","0.22","2016-03-02"
"Where's My Mommy?","0","0","10","0","0.70","0.70","0.07","0.03","57.1","0.68","0.09","34","0.30","2016-03-02"
"Trinium Wars","0","0","10","0","0.41","0.41","0.04","0.03","25.0","0.11","0.10","762","0.17","2016-03-02"
"RaidersSphere4th","0","0","7","0","1.48","1.48","0.21","N/A","0.0","1.57","0.40","16","0.73","2016-03-02"
"HIS (Heroes In the Sky)","0","0","5","0","2.32","2.32","0.46","N/A","0.0","0.63","5.88","17","1.20","2016-03-02"
"Beast Blaster","0","0","9","0","0.27","0.27","0.03","0.02","33.3","0.03","0.03","2944","0.13","2016-03-02"
"Resilience: Wave Survival","0","0","7","0","0.88","0.88","0.13","30.67","-23,492.3","1.12","6.40","15","0.45","2016-03-01"
"Shadow Of Nebula","0","0","5","0","1.87","1.87","0.37","N/A","0.0","2.14","2.85","10","0.97","2016-03-01"
"RaceRoom Racing Experience","0","0","8","0","1.55","1.55","0.19","0.34","-78.9","0.36","0.36","103","0.66","2016-03-01"
"Deponia Doomsday","0","0","8","0","0.63","0.63","0.08","0.09","-12.5","0.16","0.17","162","0.28","2016-03-01"
"Fairies vs. Darklings: Arcane Edition","0","0","6","0","0.38","0.38","0.06","0.03","50.0","0.07","0.05","69","0.16","2016-03-01"
"Bierzerkers","0","0","7","0","1.04","1.04","0.15","0.67","-346.7","3.99","1.61","13","0.52","2016-03-01"
"軒轅劍外傳穹之扉(The Gate of Firmament)","0","0","9","0","2.35","2.35","0.26","0.32","-23.1","0.36","3.83","33","1.13","2016-03-01"
"The Quest","0","0","10","0","1.28","1.28","0.13","0.09","30.8","2.29","2.40","20","0.57","2016-03-01"
"On A Roll 3D","0","0","6","0","0.39","0.39","0.07","0.03","57.1","0.04","0.04","191","0.18","2016-03-01"
"The Town of Light","0","0","6","0","1.16","1.16","0.19","0.29","-52.6","0.31","0.11","52","0.50","2016-03-01"
"Deathsmiles","0","0","6","0","2.09","2.09","0.35","0.41","-17.1","0.69","2.67","37","0.91","2016-03-01"
"Star Sky 2","0","0","5","0","0.59","0.59","0.12","0.08","33.3","0.63","1.04","30","0.31","2016-03-01"
"Sakura Beach","0","0","5","0","1.15","1.15","0.23","0.24","-4.3","0.21","0.37","66","0.60","2016-03-01"
"America's Army: Proving Grounds","0","0","6","0","2.28","2.28","0.38","0.40","-5.3","4.40","4.71","27","0.99","2016-02-29"
